divergence,length,pred_hw,n_doublings_neural,n_doublings_fixed30,n_doublings_fixed100,t_neural_ms,t_fixed30_ms,t_fixed100_ms,speedup_vs_30,speedup_vs_100,score_neural,score_fixed100,score_match
0.3,622,10,0,0,0,0.480500006233342,2.7713000017683953,8.720500001800247,5.767533747798928,18.148803098173882,250.0,250.0,True
0.3,841,12,0,0,0,0.7951000006869435,3.567000007024035,10.174900002311915,4.486228152361023,12.797006657679656,337.0,337.0,True
0.3,343,10,0,0,0,0.302100001135841,1.4537999959429726,3.970399993704632,4.812313771853523,13.142667920478818,139.0,139.0,True
0.3,751,12,0,0,0,0.8670000097481534,3.886300008161925,12.523400000645779,4.482468240445371,14.444521176284164,301.0,301.0,True
0.3,582,14,0,0,0,0.6542000046465546,2.546399991842918,7.335200003581122,3.89238760892193,11.21247317560647,234.0,234.0,True
0.3,570,10,0,0,0,0.5985000025248155,2.9749999957857653,8.44879999931436,4.97076020590729,14.116624834874665,228.0,228.0,True
0.3,232,8,0,0,0,0.1697999978205189,0.9183999936794862,2.349700007471256,5.408716168832043,13.838044980159088,94.0,94.0,True
0.3,429,9,0,0,0,0.4335000121500343,2.240500005427748,6.270600002608262,5.168396638135067,14.465051503707935,173.0,173.0,True
0.3,992,14,0,0,0,0.9214000019710511,4.11369999346789,15.079399992828257,4.464619041315278,16.365747732331812,398.0,398.0,True
0.3,324,10,0,0,0,0.37349999183788896,1.6776999982539564,4.465099991648458,4.4918340961627985,11.954752581591636,130.0,130.0,True
0.3,396,9,0,0,0,0.3513000119710341,1.869200001237914,5.040799995185807,5.320808248056752,14.348988965025821,160.0,160.0,True
0.3,634,11,0,0,0,0.6090999959269539,3.245699990657158,9.535299992421642,5.32868168176182,15.654736588711389,254.0,254.0,True
0.3,490,13,0,0,0,0.5626000056508929,2.2247999877436087,6.040799999027513,3.9544969168097586,10.737291038663761,196.0,196.0,True
0.3,901,13,0,0,0,0.893999997060746,4.083599997102283,10.94389999343548,4.567785246675799,12.241498914335967,361.0,361.0,True
0.3,911,12,0,0,0,1.0519000061322004,4.738800009363331,13.930600005551241,4.504990951362129,13.243274003556262,365.0,365.0,True
0.3,711,12,0,0,0,0.8482000121148303,3.6888000031467527,10.822600001120009,4.348974240108073,12.75949050523573,285.0,285.0,True
0.3,980,13,0,0,0,0.8649999945191666,4.101700003957376,12.057900006766431,4.74184974560308,13.939768882275123,392.0,392.0,True
0.3,861,12,0,0,0,0.807800010079518,3.585800004657358,10.543199998210184,4.438969992466799,13.051745316482895,345.0,345.0,True
0.3,629,12,0,0,0,0.6095999997342005,2.7818999951705337,8.578199995099567,4.563484246035934,14.071850391797666,253.0,253.0,True
0.3,434,10,0,0,0,0.5517999961739406,2.6639999996405095,6.0182000015629455,4.827836205349941,10.906487936375166,174.0,174.0,True
0.3,813,12,0,0,0,0.9452000085730106,3.8189000042621046,10.744899991550483,4.040308897190535,11.367858542206635,327.0,327.0,True
0.3,650,11,0,0,0,0.7425999938277528,3.4699000098044053,9.850899994489737,4.67263673396859,13.265418901652549,260.0,260.0,True
0.3,797,12,0,0,0,0.9293999901274219,4.11069999972824,12.000000002444722,4.422961096830503,12.911555982262822,319.0,319.0,True
0.3,506,10,0,0,0,0.5206000059843063,2.637700003106147,7.41320000088308,5.066653808654896,14.239723234091844,204.0,204.0,True
0.3,481,11,0,0,0,0.5421000096248463,2.515000000130385,7.085699995514005,4.639365348602116,13.07083539883642,193.0,193.0,True
